,species_taxid,prev_index,isolation_source,305,562,1308,1280,32051,197,28901,239,396,287,29449,1358,1359,480,1747,573,599,1772,210,1708203,1307,1282,670,669,644,283734,1219,246167,1502,1247,2881428,1464,34021,1879286,59823,166314,1351,1288,317,110662,71237,647,28038,1719,663,194963,1131,33940,28172,1587,1423,1684,303541,1218507,1218506,1196095,1218493,521,400390,33038,306,1590,155892,1296,549,666,75985,633,550,347,34085,29447,294,2591838,244363,1884818,1599,1409,1392,43080,50422,138072,638,1872640,337255,79967,554,40324,303,2830837,158836,1396,1352,104336,1426,544556,550542,680,64713,645,584,558,552,546367,391,339,29523,29497,29446,2748,274,251701,232348,1869344,182337,1613,1584,1496,1486246,1313,1184,28450,57975,171279,519450,84677,820,79884,69393,691,678,632,630,623,576,56636,564,53249,51669,470932,470,46503,44273,40214,384,375,37333,35783,316279,315405,29387,29282,2853441,28141,2760844,2654244,256701,244366,2288,207809,2055,204038,198252,1915309,1913084,1873498,1871086,180957,1773,1639,1582,155978,1525218,1491,1428684,192170,76594,1303,712622,1126,46610,1128108,35749,1263550,1201031,1176,1172566,1160,115547,1153,109790,1061,1071053,868811,988779,83986,823,818,79885,79882,78,77022,759620,738,747,728061,70775,703,689844,68892,687692,674,668,65700,665099,652,616,614,61015,59932,587,57706,57480,56730,571,560047,55601,55211,548,47770,47304,456327,452949,37328,37636,36822,36746,358,35746,35743,34,33932,33905,329854,33059,32046,316278,316,314913,314855,313625,301148,2971255,29471,29506,29418,29378,292733,2923421,2923420,2923419,28442,28174,2766470,2801032,2756,2735435,273384,2730087,2724900,2724899,2724898,2724897,2663020,2702,2653893,255252,246432,2286,227866,2247,2246,2138,2047,2108530,2024383,2021,2020860,198620,1972202,195,1913989,1912315,1896315,1908224,1888892,1888169,1872444,1871623,1869339,1824,1764276,1764275,1703972,1764273,1703971,1703969,1665,166321,1648,1641,1622,1618,161398,1615674,1597,1596,1560201,153151,1531298,1510574,1465,1463165,1428,145262,1363,1354,1353,1348,1335,1328,1314,1311,1284,1310165,1408,1405,1399,1390,1386776,1386775,1386774,1386773,13689,1386772
0,,,,Ralstonia solanacearum,Escherichia coli,Streptococcus thermophilus,Staphylococcus aureus,Synechococcus sp. WH 7803,Campylobacter jejuni,Salmonella enterica,Flavobacterium sp.,Rhizobium phaseoli,Pseudomonas aeruginosa,Rhizobium etli,Lactococcus lactis,Lactococcus cremoris,Moraxella catarrhalis,Cutibacterium acnes,Klebsiella pneumoniae,Salmonella sp.,Mycolicibacterium smegmatis,Helicobacter pylori,Rheinheimera sp. BAL341,Streptococcus suis,Staphylococcus epidermidis,Vibrio parahaemolyticus,Vibrio harveyi,Aeromonas hydrophila,Staphylococcus pseudintermedius,Prochlorococcus marinus,Vibrio crassostreae,Clostridium perfringens,Oenococcus oeni,Parasynechococcus marenigrum,Paenibacillus larvae,Candidatus Liberibacter asiaticus,Halorubrum sp.,Prevotella sp.,Synechococcus sp. WH 8109,Enterococcus faecalis,Staphylococcus xylosus,Pseudomonas syringae,Synechococcus sp. CC9605,Mammaliicoccus vitulinus,Aeromonas sp.,Latilactobacillus curvatus,Corynebacterium pseudotuberculosis,Vibrio alginolyticus,Sinorhizobium americanum,Synechococcus sp.,Geobacillus thermodenitrificans,Vibrio metschnikovii,Lactobacillus helveticus,Bacillus subtilis,Bifidobacterium asteroides,Lactobacillus apis,Lactobacillus melliventris,Lactobacillus kimbladii,Gilliamella apicola,Lactobacillus kullabergensis,Bordetella avium,Alkalimonas collagenimarina,[Ruminococcus] gnavus,Pseudomonas sp.,Lactiplantibacillus plantarum,Caulobacter vibrioides,Mammaliicoccus sciuri,Pantoea agglomerans,Vibrio cholerae,Mannheimia haemolytica,Yersinia pseudotuberculosis,Enterobacter cloacae,Xanthomonas oryzae,Riemerella anatipestifer,Xanthomonas albilineans,Pseudomonas fluorescens,Asgard group archaeon,Haloarcula californiae,Escherichia sp.,Latilactobacillus sakei,Bacillus sp. (in: firmicutes),Bacillus anthracis,Sulfolobus islandicus,Shewanella sp.,Candidatus Hamiltonella defensa,Arsenophonus nasoniae,Arsenophonus sp.,Candidatus Arsenophonus arthropodicus,Erwinia pyrifoliae,Pectobacterium carotovorum,Stenotrophomonas maltophilia,Pseudomonas putida,Shewanella sp. M16,Enterobacter hormaechei,Bacillus cereus,Enterococcus faecium,Microbacterium foliorum,Parageobacillus thermoglucosidasius,Geobacillus sp. Y412MC61,Geobacillus sp. Y412MC52,Vibrio campbellii,Halorubrum coriense,Aeromonas salmonicida,Proteus mirabilis,Erwinia sp.,Erwinia amylovora,Hafnia paralvei,Rhizobium sp.,Xanthomonas campestris,Bacteroides sp.,Vibrio splendidus,Xanthomonas sp.,Carnobacterium divergens,Thermus thermophilus,Pseudomonas syringae group genomosp. 3,Synechococcus sp. CB0101,Curtobacterium sp.,Erwinia billingiae,Limosilactobacillus fermentum,Lactobacillus delbrueckii,Clostridioides difficile,Halomonas sp.,Streptococcus pneumoniae,Leptolyngbya boryana,Burkholderia pseudomallei,Burkholderia thailandensis,Mycoplasmopsis anatis,Mycoplasma anserisalpingitidis,Candidatus Xenohaliotis californiensis,Bacteroides uniformis,Alkalihalobacillus pseudalcaliphilus,Pantoea sp.,Vibrio natriegens,Vibrio sp.,Yersinia pestis,Yersinia enterocolitica,Shigella flexneri,Klebsiella sp.,Aeropyrum pernix,Escherichia fergusonii,Pseudoalteromonas sp.,Tetragenococcus halophilus,Pantoea deleyi,Acinetobacter baumannii,Parabacteroides merdae,Lactococcus sp.,Acinetobacter johnsonii,Rhizobium leguminosarum,Bradyrhizobium japonicum,Nocardia transvalensis,Enterococcus sp.,Synechococcus sp. CC9902,Streptococcus gallolyticus,Staphylococcus sp.,Haloarcula japonica,Vibrio sp. St2,Cronobacter sakazakii,Serratia sp. OS31,Flavobacterium sp. LMO8,Glutamicibacter arilaitensis,Klebsiella variicola,Sulfolobus sp.,Sulfolobus tengchongensis,Gordonia terrae,Dickeya dadantii,Candidatus Pelagibacter ubique,Silvanigrella aquatica,Pectobacterium sp.,Hafnia sp.,Brevundimonas sp.,Pectobacterium brasiliense,Mycobacterium tuberculosis,Listeria monocytogenes,Lacticaseibacillus casei,Acaryochloris marina,Sulfitobacter sp. CB2047,Clostridium botulinum,Exiguobacterium alkaliphilum,Cellulophaga sp. MM#3,Cellulophaga baltica,Streptococcus oralis,Streptococcus sp. oral taxon 058,Microcystis aeruginosa,Geobacter sp.,Thermococcus prieurii,Thermococcus sp.,Edwardsiella piscicida,Pectobacterium aroidearum,Aphanizomenon flos-aquae,Natrinema sp. J7-1,Planktothrix agardhii,uncultured archaeon,Pseudanabaena sp.,Lactobacillus jensenii,Rhodobacter capsulatus,Virgibacillus halotolerans,Vibrio sp. LL003.15,Candidatus Megaira polyxenophila,Methanoculleus bourgensis,Parabacteroides distasonis,Bacteroides thetaiotaomicron,Alkalihalophilus pseudofirmus,Sutcliffiella halmapala,Caulobacter sp.,Cylindrospermopsis raciborskii,Weissella ceti,Glaesserella parasuis,Pasteurella multocida,Psychrobacter sp. OW20,Pseudomonas plecoglossicida,Plesiomonas shigelloides,Wolbachia endosymbiont of Simulium squamosum,Streptococcus infantis,Sulfolobus sp. G4T-1,Vibrio mimicus,Aliivibrio fischeri,Erwinia tracheiphila,Cytobacillus oceanisediminis,Aeromonas schubertii,Serratia sp. (in: enterobacteria),Serratia liquefaciens,Staphylococcus succinus,Synechococcus sp. WH 8101,Providencia rettgeri,Citrobacter braakii,Microvirgula aerodenitrificans,Rhizobium gallicum,Klebsiella oxytoca,Salicola sp. PV4,Vibrio anguillarum,Erwinia persicina,Klebsiella aerogenes,Lactobacillus crispatus,Metallosphaera prunae,Xanthomonas euvesicatoria,Sulfolobus beitou,Nocardia carnea,Thermus scotoductus,Gordonia rubripertincta,Pseudomonas cichorii,Agrobacterium tumefaciens,Haloferax gibbonsii,Halorubrum sodomense,Myxococcus xanthus,Sutcliffiella cohnii,Bifidobacterium thermophilum,Bacteroides intestinalis,Acidithiobacillus caldus,Synechococcus elongatus,Synechococcus sp. RCC307,Stutzerimonas stutzeri,Vibrio sp. 12G05,Vibrio sp. 12A10,Synechococcus sp. BL107,Caldibacillus debilis,Variovorax sp. ZS18.2.2,Pectobacterium atrosepticum,Leptospira inadai,Mastigocladus sp.,Staphylococcus arlettae,Psychrobacter aquimaris,Aeromonas sp. MR19,Aeromonas sp. MR16,Aeromonas sp. MR7,Haloarcula vallismortis,Vibrio ordalii,Leuconostoc falkenbergense,Halorubrum sp. LN27,Brochothrix thermosphacta,Sulfitobacter sp. HGT1,Brevibacterium aurantiacum,Synechococcus sp. SR-C1,Nitratiruptor sp. YY08-26,Nitratiruptor sp. YY08-14,Nitratiruptor sp. YY08-13,Nitratiruptor sp. YY08-10,Sulfolobus sp. E11-6,Gardnerella vaginalis,Xylophilus sp.,Synechococcus sp. CB0208,Staphylococcus equorum,Saccharolobus shibatae,Bacillus tequilensis,Halorubrum lacusprofundi,Haloferax volcanii,Spiroplasma poulsonii,Rothia dentocariosa,Ruegeria sp. AU67,Thermocrinis sp.,Thermobifida fusca,Metallosphaera sp.,Pseudomonas koreensis,Cellulophaga sp.,Campylobacter coli,Gammaproteobacteria bacterium,Morganella sp. (in: enterobacteria),Weissella sp.,Sphingopyxis sp.,Sphingomonas turrisvirgatae,Cronobacter sp.,Alistipes sp.,Psychrobacillus sp.,Polaromonas sp.,Nocardia asteroides,Rhizobium sp. R693,Rhizobium sp. R635,Rhizobium sp. N4311,Rhizobium sp. R339,Rhizobium sp. N941,Rhizobium sp. N324,Arthrobacter globiformis,Synechococcus sp. WH 8017,Erysipelothrix rhusiopathiae,Listeria grayi,Ligilactobacillus murinus,Liquorilactobacillus mali,Pseudoalteromonas phenolica,Pseudomonas lactis,Lacticaseibacillus paracasei,Lactobacillus gasseri,Erwinia iniecta,Parageobacillus toebii,Curvibacter sp. AEP1.3,Rahnella woolbedingensis,Brevibacillus laterosporus,Klebsiella quasipneumoniae,Bacillus thuringiensis,Methanothermobacter thermautotrophicus,Lactococcus garvieae,Enterococcus hirae,Enterococcus gallinarum,Streptococcus parauberis,Streptococcus equinus,Streptococcus anginosus,Streptococcus pyogenes,Streptococcus agalactiae,Staphylococcus hyicus,Ralstonia pseudosolanacearum,Bacillus pumilus,Bacillus mycoides,Cytobacillus firmus,Bacillus amyloliquefaciens,Shewanella sp. 49,Shewanella sp. 44,Shewanella sp. 41,Shewanella sp. 40,Sphingomonas paucimobilis,Shewanella sp. 4
Ralstonia phage vB_RsoP_BMB50,2834269,9386,tomato fields,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO384_1,2935441,11613,comfrey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO383_2,2935440,11612,potato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO383_1,2935439,11611,potato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO382_3,2935438,11610,Solanum panduraforme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO382_2,2935437,11609,Solanum panduraforme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO382_1,2935436,11608,Solanum panduraforme,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO381_1,2935435,11607,banana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
