,species_taxid,prev_index,isolation_source,287,562,1772,1773
0,,,,Pseudomonas aeruginosa,Escherichia coli,Mycolicibacterium smegmatis,Mycobacterium tuberculosis
Mycobacterium phage Legendre,1327951,1020,the material of sarcoid patients,0,0,1,1
Mycobacterium phage Clark,1327955,1023,the material of sarcoid patients,0,0,1,1
Mycobacterium phage DNAIII,1327950,1019,the material of sarcoid patients,0,0,1,1
Escherichia phage DN1,2024003,3347,lysate of batch-culture of recombinant E. coli BL21 (DE3),0,1,0,0
Pseudomonas phage vB_Pae_CF81b,2563595,6423,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF81a,2563594,6422,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF79a,2563593,6421,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF78a,2563592,6420,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF77b,2563591,6419,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF74b,2563589,6418,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF74a,2563588,6417,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF69a,2563586,6416,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF67a,2563585,6415,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF65b,2563584,6414,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF65a,2563583,6413,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF63a,2563582,6412,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF60a,2563581,6411,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF5a,2563580,6410,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF57b,2563579,6409,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF57a,2563578,6408,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF55b,2563577,6407,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF54a,2563575,6406,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF53c,2563574,6405,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF53b,2563573,6404,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF53a,2563572,6403,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF3a,2563569,6402,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF34a,2563568,6401,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF28b,2563567,6400,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF28a,2563566,6399,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF24b,2563565,6398,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF24a,2563564,6397,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF23b,2563563,6396,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF23a,2563562,6395,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF213b,2563561,6394,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF213a,2563560,6393,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF208a,2563559,6392,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF183b,2563558,6391,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF183a,2563557,6390,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF177c,2563556,6389,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF177b,2563555,6388,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF177a,2563554,6387,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF165a,2563552,6386,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF145a,2563551,6385,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF140a,2563550,6384,lung of cystic fibrosis patients,1,0,0,0
Pseudomonas phage vB_Pae_CF136b,2563549,6383,lung of cystic fibrosis patients,1,0,0,0
