,species_taxid,prev_index,isolation_source,1772,2055,104336,1665,1771959,36822,1423,573,1911,199592,1833,1916,1464,1428,1930,552,1392,562,29438,317,68239,193460,1938,305,1396,28901,40324,95486,67384,2033,146922,51671,54571,442694,347,303,1773,43666,287,1931,1496,1310165,945692,58346,382,33918,294,1409,1280,67369,661398,622,52258,346,306,29446,28450,1771,1667,1408,126157,517398,528343,219305,47853,2910159,284570,283923,28095,28028,2770786,2770772,251701,1961,229037,1933880,1902,1799,1785,1774,1465,1450,1426,114975,1390,936347,823,79967,80869,43767,38305,37927,343,34,33913,339,311808,29387,29471,678,623,56460,556,554,549,488447,47914,456327,46503
0,,,,Mycolicibacterium smegmatis,Gordonia terrae,Microbacterium foliorum,Arthrobacter globiformis,Arthrobacter sp. ATCC 21022,Gordonia rubripertincta,Bacillus subtilis,Klebsiella pneumoniae,Streptomyces griseus,Microbacterium paraoxydans,Rhodococcus erythropolis,Streptomyces lividans,Paenibacillus larvae,Bacillus thuringiensis,Streptomyces scabiei,Erwinia amylovora,Bacillus anthracis,Escherichia coli,Pseudomonas savastanoi,Pseudomonas syringae,Streptomyces mirabilis,Streptomyces sanglieri,Streptomyces viridochromogenes,Ralstonia solanacearum,Bacillus cereus,Salmonella enterica,Stenotrophomonas maltophilia,Burkholderia cenocepacia,Streptomyces xanthochromogenes,Microbacterium testaceum,Streptomyces griseofuscus,Microbacterium sp.,Streptomyces venezuelae,Xanthomonas perforans,Xanthomonas oryzae,Pseudomonas putida,Mycobacterium tuberculosis,Paeniglutamicibacter sulfureus,Pseudomonas aeruginosa,Streptomyces sp.,Clostridioides difficile,Ralstonia pseudosolanacearum,Gordonia neofelifaecis,Streptomyces platensis,Sinorhizobium meliloti,Microbacterium liquefaciens,Pseudomonas fluorescens,Bacillus sp. (in: firmicutes),Staphylococcus aureus,Streptomyces toxytricini,Microbacterium radiodurans,Shigella dysenteriae,Streptomyces flavovirens,Xanthomonas citri,Pseudomonas sp.,Xanthomonas sp.,Burkholderia pseudomallei,Mycolicibacterium phlei,Arthrobacter sp.,Bacillus pumilus,Psychrobacillus psychrodurans,Pseudomonas sp. D3,Pseudomonas sp. G11,Micromonospora sp. ATCC 39149,Micromonospora carbonacea,Bacillus sp. ET1,Microbacterium natoriense,Pseudoxanthomonas kaohsiungensis,Burkholderia gladioli,Corynebacterium flavescens,Clostridioides sp. ES-S-0173-01,Clostridioides sp. ES-S-0107-01,Pseudomonas syringae group genomosp. 3,Streptomyces virginiae,Proteus sp. (in: enterobacteria),Glutamicibacter halophytocola,Streptomyces coelicolor,Mycolicibacterium aichiense,Mycobacterium sp.,Mycobacteroides chelonae,Brevibacillus laterosporus,Alicyclobacillus acidoterrestris,Parageobacillus thermoglucosidasius,Sporosarcina aquimarina,Bacillus amyloliquefaciens,Psychrobacter sp. MV2,Parabacteroides distasonis,Erwinia pyrifoliae,Paracidovorax citrulli,Prescottella equi,Corynebacterium vitaeruminis,Sinomonas atrocyanea,Xanthomonas translucens,Myxococcus xanthus,Saccharomonospora sp.,Xanthomonas campestris,Arthrobacter sp. 68b,Staphylococcus sp.,Pectobacterium atrosepticum,Vibrio sp.,Shigella flexneri,Xanthomonas vesicatoria,Dickeya chrysanthemi,Pectobacterium carotovorum,Pantoea agglomerans,Burkholderia contaminans,Brevibacterium fuscum,Xanthomonas euvesicatoria,Parabacteroides merdae
Mycolicibacterium phage Kashi_SSH1,2951410,11992,moist soil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium phage xkcd,2283301,4486,soil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium phage Zombie,1897498,2745,soil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium phage Zizzle,2859638,9823,soil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium phage Zimmer,2910960,10722,soil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium phage Zilizebeth,2530157,5522,soil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium phage Zeuska,2341047,4689,soil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium phage Zephyr,1930080,2963,soil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
