,species_taxid,prev_index,isolation_source,136468,32051,246167,1219,239,553239,47951,29497,287,1708203,2881428,678,669,110662,55601,166314,59932,1904441,198252,439493,1942464,76594,670,573,53249,2745561,2070776,2024849,188144,89184,2591838,2268451,50422,663,645,444515,28901,2745563,212663,190893,28108,691,316,232348,1131,550542,1426,544556,668,316279,313588,2745558,267,2654244,2434,2070777,192170,1907202,1525218,1564506,1396,1386776,1386775,1386774,1386773,1386772,1351,1176,1348393,85698,728064,728063,728061,696485,672,680,562,538381,50741,462991,459558,39960,316278,314913,313625,314855,2546201,232352,190895,1904862,1892904,1870778,173509,170673,166309,166321,306,29498,2749994,2735435,2724900,2724899,2724898,2724897,255252,267375
0,,,,Vibrio lentus,Synechococcus sp. WH 7803,Vibrio crassostreae,Prochlorococcus marinus,Flavobacterium sp.,Vibrio breoganii,Vibrio cyclitrophicus,Vibrio splendidus,Pseudomonas aeruginosa,Rheinheimera sp. BAL341,Parasynechococcus marenigrum,Vibrio sp.,Vibrio harveyi,Synechococcus sp. CC9605,Vibrio anguillarum,Synechococcus sp. WH 8109,Synechococcus sp. WH 8101,Paracoccaceae bacterium,Candidatus Pelagibacter ubique,Candidatus Pelagibacter sp. HTCC7211,Cellulophaga sp. HaHaR_3_176,Cellulophaga baltica,Vibrio parahaemolyticus,Klebsiella pneumoniae,Pseudoalteromonas sp.,Polaribacter sp. HaHaR_3_91,Vibrio sp. F12,Candidatus Pelagibacter sp.,Enterovibrio norvegicus,Ruegeria pomeroyi,Asgard group archaeon,Candidatus Pelagibacter sp. FZCC0015,Shewanella sp.,Vibrio alginolyticus,Aeromonas salmonicida,Maribacter forsetii,Salmonella enterica,Polaribacter sp. R2A056_3_33,Vibrio tasmaniensis,Vibrio coralliilyticus,Alteromonas macleodii,Vibrio natriegens,Stutzerimonas stutzeri,Synechococcus sp. CB0101,Synechococcus sp.,Geobacillus sp. Y412MC52,Parageobacillus thermoglucosidasius,Geobacillus sp. Y412MC61,Aliivibrio fischeri,Synechococcus sp. CC9902,Croceibacter atlanticus,Cellulophaga sp. HaHa_2_95,Paracoccus sp. (in: a-proteobacteria),Flavobacterium sp. LMO8,Roseobacter denitrificans,Vibrio sp. F13,Cellulophaga sp. MM#3,Roseobacter sp.,Sulfitobacter sp. CB2047,Rhodovulum sp. P5,Bacillus cereus,Shewanella sp. 49,Shewanella sp. 44,Shewanella sp. 41,Shewanella sp. 40,Shewanella sp. 4,Enterococcus faecalis,Aphanizomenon flos-aquae,Pseudoalteromonas sp. H105,Achromobacter xylosoxidans,Vibrio sp. YD38,Vibrio sp. YD21,Psychrobacter sp. OW20,Vibrio owensii,Vibrio vulnificus,Vibrio campbellii,Escherichia coli,Stappia indica,Marinobacter sp.,Vibrio hangzhouensis,Cellulophaga sp. NN014847,Erythrobacter litoralis,Synechococcus sp. RCC307,Vibrio sp. 12G05,Synechococcus sp. BL107,Vibrio sp. 12A10,Methylophilales bacterium,Synechococcus sp. CB0201,Vibrio rotiferianus,Marinomonas sp.,Alteromonas abrolhosensis,Pseudoalteromonas sp. H6,Shewanella fidelis,Vibrio kanaloae,Synechococcus sp. MIT S9220,Synechococcus sp. WH 8017,Pseudomonas sp.,Vibrio tubiashii,Cellulophaga sp. HaHa_2_1,Sulfitobacter sp. HGT1,Nitratiruptor sp. YY08-26,Nitratiruptor sp. YY08-14,Nitratiruptor sp. YY08-13,Nitratiruptor sp. YY08-10,Synechococcus sp. CB0208,Pseudoalteromonas marina
Vibrio phage 3.058.O._10N.286.46.B8,1881379,2606,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 2.092.O._10N.286.52.B7,1881378,2605,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 2.058.O._10N.286.46.B8,1881377,2604,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 2.044.O._10N.261.51.B8,1881376,2603,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.285.O._10N.286.55.C12,1881375,2602,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.283.C._10N.286.55.A1,1881374,2601,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.283.B._10N.286.55.A1,1881373,2600,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.283.A._10N.286.55.A1,1881372,2599,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.282.A._10N.286.54.F8,1881371,2598,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.281.O._10N.286.54.F7,1881370,2597,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.280.O._10N.286.54.F6,1881369,2596,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibrio phage 1.277.B._10N.286.54.E7,1881368,2595,"iron chloride precipitation of 0.2um-filtered seawater, resuspended in oxalate solution",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
