,species_taxid,prev_index,isolation_source,28901,562,1061,552,287,573,644,305,470,666,670,56448,647,251701,317,155892,550,347,28172,663,274,400390,1351,1153,623,40324,43080,88688,79967,654,599,1772,1184,1160,32051,521,303,29471,1486246,1280,1131,1126,46610,79884,77022,669,64713,645,554,470932,380021,35783,339,306,29446,244366,2288,1915309,1888169,1871086,158836,1428684,1396,1326968,1219,1128108,35749,1756761,1531298,1510939,1510937,1423,1405,1363,1263550,103690,1134687,988779,948519,89184,876,79885,78,79882,74313,70856,70775,691,687692,674,652,648,616,624,615,59779,56636,546367,543360,488447,443616,43666,37636,410332,36822,35746,33987,33932,32046,305430,301148,29414,28174,294,2020860,1926584,1908224,1906242,1888892,1884818,1880678,1869344,1824,1869339,2730087,2663020,2653893,239,232353,2287,2247,2246,2024383,2057980
0,,,,Salmonella enterica,Escherichia coli,Rhodobacter capsulatus,Erwinia amylovora,Pseudomonas aeruginosa,Klebsiella pneumoniae,Aeromonas hydrophila,Ralstonia solanacearum,Acinetobacter baumannii,Vibrio cholerae,Vibrio parahaemolyticus,Xanthomonas arboricola,Aeromonas sp.,Pseudomonas syringae group genomosp. 3,Pseudomonas syringae,Caulobacter vibrioides,Enterobacter cloacae,Xanthomonas oryzae,Vibrio metschnikovii,Vibrio alginolyticus,Thermus thermophilus,Alkalimonas collagenimarina,Enterococcus faecalis,Pseudanabaena sp.,Shigella flexneri,Stenotrophomonas maltophilia,Sulfolobus islandicus,Caulobacter segnis,Erwinia pyrifoliae,Aeromonas veronii,Salmonella sp.,Mycolicibacterium smegmatis,Leptolyngbya boryana,Planktothrix agardhii,Synechococcus sp. WH 7803,Bordetella avium,Pseudomonas putida,Pectobacterium atrosepticum,Halomonas sp.,Staphylococcus aureus,Synechococcus sp.,Microcystis aeruginosa,Geobacter sp.,Alkalihalobacillus pseudalcaliphilus,Cylindrospermopsis raciborskii,Vibrio harveyi,Halorubrum coriense,Aeromonas salmonicida,Pectobacterium carotovorum,Pantoea deleyi,Pseudomonas protegens,Enterococcus sp.,Xanthomonas campestris,Pseudomonas sp.,Xanthomonas sp.,Klebsiella variicola,Sulfolobus sp.,Silvanigrella aquatica,Cronobacter sp.,Brevundimonas sp.,Enterobacter hormaechei,Exiguobacterium alkaliphilum,Bacillus cereus,Bacillus australimaris,Prochlorococcus marinus,Thermococcus prieurii,Thermococcus sp.,Pseudaeromonas pectinilytica,Curvibacter sp. AEP1.3,Idiomarinaceae bacterium N2-2,Idiomarinaceae bacterium M2-2,Bacillus subtilis,Bacillus mycoides,Lactococcus garvieae,Edwardsiella piscicida,Nostoc sp. PCC 7120 = FACHB-418,Klebsiella michiganensis,Candidatus Megaira polyxenophila,Aeromonas rivipollensis,Ruegeria pomeroyi,Desulfovibrio desulfuricans,Alkalihalophilus pseudofirmus,Caulobacter sp.,Sutcliffiella halmapala,Brevundimonas subvibrioides,Aeromonas popoffii,Pseudomonas plecoglossicida,Vibrio natriegens,Sulfolobus sp. G4T-1,Vibrio mimicus,Aeromonas schubertii,Aeromonas caviae,Serratia sp. (in: enterobacteria),Shigella sonnei,Serratia marcescens,Paracoccus marcusii,Aeropyrum pernix,Hafnia paralvei,Pseudomonas cuatrocienegasensis,Burkholderia contaminans,Rheinheimera soli,Paeniglutamicibacter sulfureus,Thermus scotoductus,Gordonia malaquae,Gordonia rubripertincta,Haloferax gibbonsii,Exiguobacterium aurantiacum,Sutcliffiella cohnii,Synechococcus elongatus,Synechococcus sp. CB0202,Caldibacillus debilis,Plectonema sp.,Vibrio ordalii,Pseudomonas fluorescens,Metallosphaera sp.,Nitrincola sp.,Sphingopyxis sp.,Tenacibaculum sp.,Sphingomonas turrisvirgatae,Escherichia sp.,Pseudomonas sivasensis,Curtobacterium sp.,Nocardia asteroides,Polaromonas sp.,Synechococcus sp. SR-C1,Sulfolobus sp. E11-6,Xylophilus sp.,Flavobacterium sp.,Synechococcus sp. CB0204,Saccharolobus solfataricus,Halorubrum lacusprofundi,Haloferax volcanii,Thermocrinis sp.,Synechococcus sp. TCC793
Salmonella phage seszw,2865759,9942,freshwater,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella phage St162,2024312,3398,"water, Grand River",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella phage St161,2024311,3397,"river sediment, Red Cedar River",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella phage STWB21,2815768,9289,lake water of outbreak area,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella phage STM2 BHU,2913140,10791,Kurukshetra Pond,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella phage ST66,3027708,13167,Environmental water,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella phage ST65,3027707,13166,Environmental water,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella phage ST64,3027706,13165,Environmental water,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
