,species_taxid,prev_index,isolation_source,562,287,28901,136468,553239,47951,573,666,29497,480,470,678,552,670,28141,305,623,624,55601,546,40324,120576,1218315,29459,36855,29460,444163,52132,235,29461,584,599,317,306,294,303,630,53249,663,152480,95486,155892,2070776,645,28108,314275,85698,75985,632,29449,550,554,382,1061,644,615,34021,267375,2371,212663,28450,669,56448,548,518,384,29471,198252,1525218,2434,339,346,56449,89184,691,67825,67780,672,625,40214,3038074,190893,1884818,1913084,728059,728064,1778540,1914291,714,63612,621,60550,576,55208,549,53409,472,413503,39775,358,347,292,2597349,215813,2070777,1912315,1747384,170673,1676277,138072,2184758,50421,314263,314264,1397108,1890673,1183401,361,1055158,1870901,1449788,13689,1348393,1265478,1250539,1229727,1208308,1089444,1062,106654,87883,936347,868811,80866,79967,78,767892,738,728063,728062,69392,728061,69218,685,680,674,668,647,641420,622,588,61652,582,57975,571,569,56730,56460,564,563,546367,558,529,52598,51367,505352,487316,47885,42895,413502,396,39960,381,34009,33059,329,314913,314855,29442,288,28174,28229,28172,28169,280483,24,229007,208224,2030816,1926584,1905321,192,161398,1569867,1564506,1542666,1537702,1510939,1510937,1503040,1479524,1497796,1904862,1896336,1888169,1886796,1870778,180837,180282,173509,1676276,1678126
0,,,,Escherichia coli,Pseudomonas aeruginosa,Salmonella enterica,Vibrio lentus,Vibrio breoganii,Vibrio cyclitrophicus,Klebsiella pneumoniae,Vibrio cholerae,Vibrio splendidus,Moraxella catarrhalis,Acinetobacter baumannii,Vibrio sp.,Erwinia amylovora,Vibrio parahaemolyticus,Cronobacter sakazakii,Ralstonia solanacearum,Shigella flexneri,Shigella sonnei,Vibrio anguillarum,Citrobacter freundii,Stenotrophomonas maltophilia,Brucella pinnipedialis,Brucella inopinata,Brucella melitensis,Brucella canis,Brucella neotomae,Brucella microti,Brucella sp.,Brucella abortus,Brucella suis,Proteus mirabilis,Salmonella sp.,Pseudomonas syringae,Pseudomonas sp.,Pseudomonas fluorescens,Pseudomonas putida,Yersinia enterocolitica,Pseudoalteromonas sp.,Vibrio alginolyticus,Burkholderia ambifaria,Burkholderia cenocepacia,Caulobacter vibrioides,Vibrio sp. F12,Aeromonas salmonicida,Alteromonas macleodii,Alteromonas mediterranea,Achromobacter xylosoxidans,Mannheimia haemolytica,Yersinia pestis,Rhizobium etli,Enterobacter cloacae,Pectobacterium carotovorum,Sinorhizobium meliloti,Rhodobacter capsulatus,Aeromonas hydrophila,Serratia marcescens,Candidatus Liberibacter asiaticus,Pseudoalteromonas marina,Xylella fastidiosa,Vibrio tasmaniensis,Burkholderia pseudomallei,Vibrio harveyi,Xanthomonas arboricola,Klebsiella aerogenes,Bordetella bronchiseptica,Rhizobium leguminosarum,Pectobacterium atrosepticum,Candidatus Pelagibacter ubique,Sulfitobacter sp. CB2047,Roseobacter denitrificans,Xanthomonas campestris,Xanthomonas citri,Xanthomonas bromi,Ruegeria pomeroyi,Vibrio natriegens,Citrobacter rodentium,Edwardsiella ictaluri,Vibrio vulnificus,Shigella sp.,Acinetobacter johnsonii,Wolbachia endosymbiont,Vibrio coralliilyticus,Escherichia sp.,Pectobacterium sp.,Aeromonas sp. IS4,Vibrio sp. YD38,Dickeya fangzhongdai,Dickeya sp.,Aggregatibacter actinomycetemcomitans,Sodalis glossinidius,Shigella boydii,Burkholderia pyrrocinia,Klebsiella sp.,Pectobacterium wasabiae,Pantoea agglomerans,Pseudomonas coronafaciens,Acinetobacter sp.,Cronobacter malonaticus,Methylomicrobium album,Agrobacterium tumefaciens,Xanthomonas oryzae,Burkholderia cepacia,Pseudomonas sp. ANT_H14,Dinoroseobacter shibae,Vibrio sp. F13,Morganella sp. (in: enterobacteria),Aeromonas sp. ARM81,Vibrio kanaloae,Enterobacter sp. CT7,Candidatus Hamiltonella defensa,Rhodoferax lacus,Rhodoferax sp.,Roseovarius nubinhibens,Roseovarius sp. 217,Celeribacter marinus,Celeribacter sp.,Agrobacterium fabacearum,Agrobacterium sp.,Loktanella sp. CB 2051,Loktanella sp.,Sinorhizobium sp. LM21,Sphingomonas paucimobilis,Pseudoalteromonas sp. H105,Enterobacteriaceae bacterium bta3-1,Salipiger abyssi,Salipiger profundus,Vibrio neocaledonicus,Dickeya solani,Rhodobacter sp.,Acinetobacter nosocomialis,Burkholderia multivorans,Psychrobacter sp. MV2,Vibrio sp. LL003.15,Delftia acidovorans,Erwinia pyrifoliae,Caulobacter sp.,Candidatus Puniceispirillum marinum,Glaesserella parasuis,Vibrio sp. YD21,Pseudoalteromonas sp. YD6,Stenotrophomonas sp.,Psychrobacter sp. OW20,Enterobacter cancerogenus,Vibrio diazotrophicus,Vibrio campbellii,Vibrio mimicus,Aliivibrio fischeri,Aeromonas sp.,Iodobacter sp. CdM7,Shigella dysenteriae,Providencia stuartii,Serratia rubidaea,Morganella morganii,Burkholderia thailandensis,Klebsiella oxytoca,Hafnia alvei,Rhizobium gallicum,Xanthomonas vesicatoria,Escherichia fergusonii,Shimwellia blattae,Hafnia paralvei,Erwinia sp.,Brucella anthropi,Sulfitobacter sp. EE-36,Salinivibrio costicola,marine bacterium HIMB624,Acinetobacter soli,Pseudomonas oryzihabitans,Enterobacter sp.,Cronobacter turicensis,Rhizobium phaseoli,Erythrobacter litoralis,Mesorhizobium loti,Rhodovulum sp.,Acidithiobacillus caldus,Ralstonia pickettii,Vibrio sp. 12G05,Vibrio sp. 12A10,Pseudomonas tolaasii,Pseudoalteromonas atlantica,Vibrio ordalii,Colwellia psychrerythraea,Vibrio metschnikovii,Vibrio pelagius,Thalassotalea loyana,Shewanella putrefaciens,Halomonas ventosae,Enterobacter kobei,Methylophilaceae bacterium,Nitrincola sp.,Salicola sp.,Azospirillum brasilense,Pseudoalteromonas phenolica,Pseudomonas sp. 1-1-1b,Rhodovulum sp. P5,Lelliottia sp. GL2,Delftia sp. 670,Idiomarinaceae bacterium N2-2,Idiomarinaceae bacterium M2-2,Aurantimonas sp. C5-1,Alteromonas gracilis,Klebsiella sp. 390,Marinomonas sp.,Citrobacter sp.,Cronobacter sp.,Salinivibrio sp.,Pseudoalteromonas sp. H6,Wolbachia endosymbiont of Nasonia vitripennis,Delftia tsuruhatensis,Shewanella fidelis,Citrobacter sp. TM1552,Pseudoalteromonas sp. Bq0
Ermolevavirus PhiKT,2733904,668,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia phage ESCO13,1881104,2413,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marienburgvirus BP4795,2844125,94,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felixounavirus JH2,1965379,1057,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhakavirus wg01,2560456,2233,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured phage,278008,120,groundwater,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yautsimvirus HK140,2844127,679,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xuanwuvirus P88,2734077,1532,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
