,species_taxid,prev_index,isolation_source,1358,1359,76594,371601,818,329854,1772,1785,562,1280,1131,32051,1396,1428,599,28901,317,251701,287,306,623,624,1667,1771959,1773,1392,1409,1423,1288,1282,571,573,1911,1916,120576,1218315,29459,36855,52132,235,29461,29460,444163,263819,33060,29484,28152,634,630,631,2881428,1219,1220,71237,28108,314275,95486,152480,644,645,294,303,584,292,471,663,670,666,678,470,48296,106654,471223,33941,340407,550542,1426,544556,409012,43767,1256785,1884818,29387,621,622,1639,1642,2055,84139,591913,692362,410332,339863,89053,1824,37330,1464,1465,60550,85991,83557,83556,83554,83555,1296,2654243,2654245,1218507,1218506,1218493,1196095,1684,303541,67384,1938,146922,633,582,1341643,632,367190,47715,1582,1597,413503,1163710,413502,413497,413501,29438,166314,1405,2026186,28450,57975,195,197,2288,43080,1314,1329,50422,658611,658610,658609,658602,658607,552,1408,1390,1402,654,647,1569654,548,28141,550,208224,339,29446,346,347,2745561,2745563,554,180957,1352,35783,1872640,337255,638,138072,37326,33008,1823,1833,615,616,82996,2287,43687,269667,518068,193460,192170,67825,546,1896336,1764,36809,1872391,33936,1430331,1283293,29549,1283285,208223,55212,104623,146537,58346,68220,104336,33918,69369,1160,1184,47253,126344,1902,2745562,2745558,2749994,1542011,244363,1879286,1089444,78398,1913084,85698,134375,40324,69392,59932,59931,53409,39775,36822,472,1886636,2780091,2745565,2745566,50421,2184758,70799,2047085,1778540,1914291,1397108,1890673,1055158,1870901,1265478,1461577,636,1263550,361,1183401,1169671,1169675,35749,1128108,239,907046,728059,728064,1303,712622,12915,563177,293387,561879,517398,528343,171279,519450,265546,391289,314564,315458,314263,314264,2271,266022,103690,264691,56636,229980,47853,219305,2434,215813,28090,202950,53249,161398,78,155892,145262,145263,99007,121277,32046,102235,1590,89059,851,76857,2248,64713,1126,46610,1245,33968,29303,33903,396,29449,2108,2148,2133,2134,274,1462,674,672,625,569,564,563,556,549,232,305,2093884,1871047,1892904,1648923,1386776,1386775,1386774,1386773,1386772,546367,459558,196024,246432,166313,158898,130049,94138,87883,79967,68277,61015,54571,56449,1496,1478,1472,1404,1351,1336,1334,1284,680,691,45972,44273,29388,2355,2286,1912,1888,1810,1638,1665
0,,,,Lactococcus lactis,Lactococcus cremoris,Cellulophaga baltica,Bacteroides xylanisolvens,Bacteroides thetaiotaomicron,Bacteroides intestinalis,Mycolicibacterium smegmatis,Mycobacterium sp.,Escherichia coli,Staphylococcus aureus,Synechococcus sp.,Synechococcus sp. WH 7803,Bacillus cereus,Bacillus thuringiensis,Salmonella sp.,Salmonella enterica,Pseudomonas syringae,Pseudomonas syringae group genomosp. 3,Pseudomonas aeruginosa,Pseudomonas sp.,Shigella flexneri,Shigella sonnei,Arthrobacter sp.,Arthrobacter sp. ATCC 21022,Mycobacterium tuberculosis,Bacillus anthracis,Bacillus sp. (in: firmicutes),Bacillus subtilis,Staphylococcus xylosus,Staphylococcus epidermidis,Klebsiella oxytoca,Klebsiella pneumoniae,Streptomyces griseus,Streptomyces lividans,Brucella pinnipedialis,Brucella inopinata,Brucella melitensis,Brucella canis,Brucella sp.,Brucella abortus,Brucella suis,Brucella neotomae,Brucella microti,Yersinia aleksiciae,Yersinia mollaretii,Yersinia frederiksenii,Yersinia kristensenii,Yersinia bercovieri,Yersinia enterocolitica,Yersinia intermedia,Parasynechococcus marenigrum,Prochlorococcus marinus,Prochlorococcus sp.,Mammaliicoccus vitulinus,Alteromonas macleodii,Alteromonas mediterranea,Burkholderia cenocepacia,Burkholderia ambifaria,Aeromonas hydrophila,Aeromonas salmonicida,Pseudomonas fluorescens,Pseudomonas putida,Proteus mirabilis,Burkholderia cepacia,Acinetobacter calcoaceticus,Vibrio alginolyticus,Vibrio parahaemolyticus,Vibrio cholerae,Vibrio sp.,Acinetobacter baumannii,Acinetobacter pittii,Acinetobacter nosocomialis,Geobacillus sp. WCH70,Geobacillus thermoleovorans,Geobacillus sp. 6k51,Geobacillus sp. Y412MC52,Parageobacillus thermoglucosidasius,Geobacillus sp. Y412MC61,Rhodococcus sp. s1,Prescottella equi,Rhodococcus sp. S2,Escherichia sp.,Staphylococcus sp.,Shigella boydii,Shigella dysenteriae,Listeria monocytogenes,Listeria innocua,Gordonia terrae,Gordonia sp. (in: high G+C Gram-positive bacteria),Gordonia sp. G7,Gordonia sp. G1,Gordonia malaquae,Gordonia australis,Gordonia amicalis,Nocardia asteroides,Nocardia nova,Paenibacillus larvae,Brevibacillus laterosporus,Burkholderia pyrrocinia,Chlamydia pecorum,Chlamydia caviae,Chlamydia felis,Chlamydia psittaci,Chlamydia abortus,Mammaliicoccus sciuri,Flavobacterium sp. LMO6,Flavobacterium sp. LMO9,Lactobacillus melliventris,Lactobacillus kimbladii,Lactobacillus kullabergensis,Gilliamella apicola,Bifidobacterium asteroides,Lactobacillus apis,Streptomyces xanthochromogenes,Streptomyces viridochromogenes,Streptomyces griseofuscus,Yersinia pseudotuberculosis,Morganella morganii,Yersinia wautersii,Yersinia pestis,Yersinia similis,Lacticaseibacillus rhamnosus,Lacticaseibacillus casei,Lacticaseibacillus paracasei,Cronobacter malonaticus,Cronobacter condimenti,Cronobacter turicensis,Cronobacter dublinensis,Cronobacter muytjensii,Pseudomonas savastanoi,Synechococcus sp. WH 8109,Bacillus mycoides,Bacillus paranthracis,Burkholderia pseudomallei,Burkholderia thailandensis,Campylobacter coli,Campylobacter jejuni,Sulfolobus sp.,Sulfolobus islandicus,Streptococcus pyogenes,Streptococcus canis,Shewanella sp.,Castellaniella sp. H5,Castellaniella sp. H17,Castellaniella sp. H13,Aquamicrobium sp. H14,Aquamicrobium sp. H8,Erwinia amylovora,Bacillus pumilus,Bacillus amyloliquefaciens,Bacillus licheniformis,Aeromonas veronii,Aeromonas sp.,Aeromonas sp. A8-29,Klebsiella aerogenes,Cronobacter sakazakii,Enterobacter cloacae,Enterobacter kobei,Xanthomonas campestris,Xanthomonas sp.,Xanthomonas citri,Xanthomonas oryzae,Polaribacter sp. HaHaR_3_91,Polaribacter sp. R2A056_3_33,Pectobacterium carotovorum,Pectobacterium brasiliense,Enterococcus faecium,Enterococcus sp.,Arsenophonus sp.,Candidatus Arsenophonus arthropodicus,Arsenophonus nasoniae,Candidatus Hamiltonella defensa,Nocardia brasiliensis,Rhodococcus globerulus,Nocardia otitidiscaviarum,Rhodococcus erythropolis,Serratia marcescens,Serratia sp. (in: enterobacteria),Serratia plymuthica,Saccharolobus solfataricus,Metallosphaera sedula,Acidianus convivator,Acidianus uzoniensis,Streptomyces sanglieri,Cellulophaga sp. MM#3,Citrobacter rodentium,Citrobacter freundii,Citrobacter sp.,Mycobacterium avium,Mycobacteroides abscessus,Aeribacillus sp.,Aeribacillus pallidus,Geobacillus icigianus,Pseudomonas sp. URIL14HWK12:I6,Rhodothermus marinus,Pseudomonas sp. URIL14HWK12:I7,Kosakonia cowanii,Erwinia rhapontici,Serratia sp. ATCC 39006,Streptomyces azureus,Streptomyces platensis,Streptomyces indigocolor,Microbacterium foliorum,Microbacterium liquefaciens,Microbacterium terrae,Planktothrix agardhii,Leptolyngbya boryana,Leptolyngbya foveolarum,Phormidium tenue,Streptomyces coelicolor,Polaribacter sp. AHE13PA,Cellulophaga sp. HaHa_2_95,Cellulophaga sp. HaHa_2_1,Haloarcula sp. SS8-5,Haloarcula californiae,Halorubrum sp.,Dickeya solani,Pectobacterium odoriferum,Pectobacterium sp.,Achromobacter xylosoxidans,Achromobacter sp.,Stenotrophomonas maltophilia,Stenotrophomonas sp.,Synechococcus sp. WH 8101,Synechococcus sp. WH 7805,Pseudomonas coronafaciens,Methylomicrobium album,Gordonia rubripertincta,Acinetobacter sp.,Luteibacter sp.,Luteibacter flocculans,Tenacibaculum sp. AHE14PA,Tenacibaculum sp. AHE15PA,Rhodoferax sp.,Rhodoferax lacus,Nodularia spumigena,Nodularia sp. (in: cyanobacteria),Dickeya fangzhongdai,Dickeya sp.,Celeribacter marinus,Celeribacter sp.,Loktanella sp. CB 2051,Loktanella sp.,Enterobacteriaceae bacterium bta3-1,Weeksella massiliensis,Edwardsiella tarda,Edwardsiella piscicida,Agrobacterium sp.,Agrobacterium fabacearum,Streptococcus sp. GMD2S,Streptococcus sp. GMD6S,Thermococcus sp.,Thermococcus prieurii,Flavobacterium sp.,Flavobacterium sp. B183,Aeromonas sp. IS4,Vibrio sp. YD38,Streptococcus oralis,Streptococcus sp. oral taxon 058,Acidianus infernus,Acidianus hospitalis,Bacillus altitudinis,Bacillus safensis,Pseudomonas sp. D3,Pseudomonas sp. G11,Mycoplasmopsis anatis,Mycoplasma anserisalpingitidis,Anoxybacillus ayderensis,Bacillus sp. 6k512,Acidianus pozzuoliensis,Acidianus sp. F28,Roseovarius nubinhibens,Roseovarius sp. 217,Thermoproteus tenax,Pyrobaculum sp. D11,Nostoc sp. PCC 7120 = FACHB-418,Trichormus variabilis,Aeropyrum pernix,Aeropyrum camini,Micromonospora carbonacea,Micromonospora sp. ATCC 39149,Roseobacter denitrificans,Dinoroseobacter shibae,Acinetobacter lwoffii,Acinetobacter baylyi,Pseudoalteromonas sp.,Pseudoalteromonas phenolica,Caulobacter sp.,Caulobacter vibrioides,Methanothermobacter thermautotrophicus,Methanothermobacter marburgensis,Pyrobaculum oguniense,Pyrobaculum arsenaticum,Synechococcus elongatus,Cyanobacterium stanieri,Lactiplantibacillus plantarum,Ligilactobacillus acidipiscis,Fusobacterium nucleatum,Fusobacterium polymorphum,Halorubrum saccharovorum,Halorubrum coriense,Microcystis aeruginosa,Geobacter sp.,Leuconostoc mesenteroides,Leuconostoc pseudomesenteroides,Streptantibioticus cattleyicolor,Streptomyces avermitilis,Rhizobium phaseoli,Rhizobium etli,Mycoplasma sp.,Acholeplasma laidlawii,Spiroplasma citri,Spiroplasma melliferum,Thermus thermophilus,Geobacillus kaustophilus,Vibrio mimicus,Vibrio vulnificus,Shigella sp.,Hafnia alvei,Escherichia fergusonii,Shimwellia blattae,Dickeya chrysanthemi,Pantoea agglomerans,Alteromonas sp.,Ralstonia solanacearum,Escherichia sp. MOD1-EC6098,Chryseobacterium sp.,Alteromonas abrolhosensis,Bacillus paralicheniformis,Shewanella sp. 49,Shewanella sp. 44,Shewanella sp. 41,Shewanella sp. 40,Shewanella sp. 4,Hafnia paralvei,Cellulophaga sp. NN014847,Aeromonas dhakensis,Staphylococcus equorum,Synechococcus sp. WH 8012,Gordonia westfalica,Paenibacillus dendritiformis,Staphylococcus ureilyticus,Burkholderia multivorans,Erwinia pyrifoliae,Streptomyces tricolor,Staphylococcus succinus,Streptomyces venezuelae,Xanthomonas bromi,Clostridioides difficile,Peribacillus simplex,Paenibacillus pabuli,Priestia megaterium,Enterococcus faecalis,Streptococcus equi,Streptococcus dysgalactiae,Staphylococcus hyicus,Vibrio campbellii,Vibrio natriegens,Staphylococcus pasteuri,Lactococcus sp.,Staphylococcus capitis,unidentified bacterial endosymbiont,Saccharolobus shibatae,Streptomyces hygroscopicus,Streptomyces albus,Mycolicibacterium vaccae,Listeria ivanovii,Arthrobacter globiformis
Ceduovirus bIL67,36343,14346,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Skunavirus sv3R16S,2845163,1876,NO INFO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skunavirus sv340,2845158,14343,NO INFO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skunavirus sv13W11L,2845152,2687,NO INFO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skunavirus Sl4,287412,11562,NO INFO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skunavirus LP9908,2845419,3827,NO INFO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skunavirus LP9903,2845418,3826,NO INFO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skunavirus LP9609,2845417,3824,NO INFO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
