,species_taxid,prev_index,isolation_source,1772,562,287,28901,1747,1280,1131,32051,666,1396,1428,76594,1639,1351,1219,470,573,1785,670,305,28141,1496,1464,1502,1773,197,552,40324,623,1423,630,155892,1392,645,599,410332,294,303,317,85698,584,53249,1465,624,1061,550,2881428,550542,544556,471223,340407,1426,33941,2055,37326,33008,1823,1833,306,274,232348,1314,663,166314,28450,678,669,615,198252,1408,1220,29387,1282,89053,37330,1824,339863,691,644,554,548,29497,29471,2756,267375,192170,1409,1352,339,95486,152480,60550,1126,46610,1764,36809,59932,549,472,36822,34,2434,1884818,1642,1363,1311,1184,47253,1089444,1913084,1265478,1461577,190893,1888169,1871047,1810,166313,1638,1334,1288,106654,110662,94138,823,79967,69392,680,674,67825,546367,46503,45972,459558,413503,39775,35783,346,292,29388,672,668,647,576,571,569,56460,564,55601,563
0,,,,Mycolicibacterium smegmatis,Escherichia coli,Pseudomonas aeruginosa,Salmonella enterica,Cutibacterium acnes,Staphylococcus aureus,Synechococcus sp.,Synechococcus sp. WH 7803,Vibrio cholerae,Bacillus cereus,Bacillus thuringiensis,Cellulophaga baltica,Listeria monocytogenes,Enterococcus faecalis,Prochlorococcus marinus,Acinetobacter baumannii,Klebsiella pneumoniae,Mycobacterium sp.,Vibrio parahaemolyticus,Ralstonia solanacearum,Cronobacter sakazakii,Clostridioides difficile,Paenibacillus larvae,Clostridium perfringens,Mycobacterium tuberculosis,Campylobacter jejuni,Erwinia amylovora,Stenotrophomonas maltophilia,Shigella flexneri,Bacillus subtilis,Yersinia enterocolitica,Caulobacter vibrioides,Bacillus anthracis,Aeromonas salmonicida,Salmonella sp.,Gordonia malaquae,Pseudomonas fluorescens,Pseudomonas putida,Pseudomonas syringae,Achromobacter xylosoxidans,Proteus mirabilis,Pseudoalteromonas sp.,Brevibacillus laterosporus,Shigella sonnei,Rhodobacter capsulatus,Enterobacter cloacae,Parasynechococcus marenigrum,Geobacillus sp. Y412MC52,Geobacillus sp. Y412MC61,Geobacillus sp. WCH70,Geobacillus sp. 6k51,Parageobacillus thermoglucosidasius,Geobacillus thermoleovorans,Gordonia terrae,Nocardia brasiliensis,Rhodococcus globerulus,Nocardia otitidiscaviarum,Rhodococcus erythropolis,Pseudomonas sp.,Thermus thermophilus,Synechococcus sp. CB0101,Streptococcus pyogenes,Vibrio alginolyticus,Synechococcus sp. WH 8109,Burkholderia pseudomallei,Vibrio sp.,Vibrio harveyi,Serratia marcescens,Candidatus Pelagibacter ubique,Bacillus pumilus,Prochlorococcus sp.,Staphylococcus sp.,Staphylococcus epidermidis,Gordonia amicalis,Nocardia nova,Nocardia asteroides,Gordonia australis,Vibrio natriegens,Aeromonas hydrophila,Pectobacterium carotovorum,Klebsiella aerogenes,Vibrio splendidus,Pectobacterium atrosepticum,Brochothrix thermosphacta,Pseudoalteromonas marina,Cellulophaga sp. MM#3,Bacillus sp. (in: firmicutes),Enterococcus faecium,Xanthomonas campestris,Burkholderia cenocepacia,Burkholderia ambifaria,Burkholderia pyrrocinia,Microcystis aeruginosa,Geobacter sp.,Mycobacterium avium,Mycobacteroides abscessus,Synechococcus sp. WH 8101,Pantoea agglomerans,Acinetobacter sp.,Gordonia rubripertincta,Myxococcus xanthus,Roseobacter denitrificans,Escherichia sp.,Listeria innocua,Lactococcus garvieae,Streptococcus agalactiae,Leptolyngbya boryana,Leptolyngbya foveolarum,Dickeya solani,Pectobacterium sp.,Enterobacteriaceae bacterium bta3-1,Weeksella massiliensis,Vibrio coralliilyticus,Cronobacter sp.,Chryseobacterium sp.,Mycolicibacterium vaccae,Synechococcus sp. WH 8012,Listeria ivanovii,Streptococcus dysgalactiae,Staphylococcus xylosus,Acinetobacter nosocomialis,Synechococcus sp. CC9605,Staphylococcus ureilyticus,Parabacteroides distasonis,Erwinia pyrifoliae,Stenotrophomonas sp.,Vibrio campbellii,Vibrio mimicus,Citrobacter rodentium,Hafnia paralvei,Parabacteroides merdae,Staphylococcus pasteuri,Cellulophaga sp. NN014847,Cronobacter malonaticus,Methylomicrobium album,Enterococcus sp.,Xanthomonas citri,Burkholderia cepacia,Staphylococcus capitis,Vibrio vulnificus,Aliivibrio fischeri,Aeromonas sp.,Klebsiella sp.,Klebsiella oxytoca,Hafnia alvei,Xanthomonas vesicatoria,Escherichia fergusonii,Vibrio anguillarum,Shimwellia blattae
Bixzunavirus Bxz1,2006134,98,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosebushvirus rosebush,2006145,97,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosebushvirus godines,1982904,163,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plotvirus plot,2170099,161,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pipefishvirus pipefish,1982918,162,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pegunavirus Pg1,1986538,100,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrnavirus myrna,2956212,261,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium virus Wildcat,1993859,164,NO INFO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
