,Unnamed: 0,Category,Strains,taxid
0,0,Soil & _water_,Xanthomonas oryzae,347
1,0,Soil & _water_,Pseudomonas syringae,317
2,0,Soil & _water_,Pseudomonas fluorescens,294
3,0,Soil & _water_,Bacillus subtilis,1423
4,0,Soil & _water_,Gordonia rubripertincta,36822
5,0,Soil & _water_,Pseudomonas sp.,306
6,0,Soil & _water_,Pseudomonas syringae group genomosp. 3,251701
7,0,Soil & _water_,Pectobacterium carotovorum,554
8,0,Soil & _water_,Pseudomonas putida,303
9,0,Soil & _water_,Xanthomonas vesicatoria,56460
10,0,Soil & _water_,Xanthomonas campestris,339
11,0,Soil & _water_,Staphylococcus aureus,1280
12,0,Soil & _water_,Mycolicibacterium smegmatis,1772
13,0,Soil & _water_,Ralstonia solanacearum,305
14,0,Soil & _water_,Klebsiella pneumoniae,573
15,0,Soil & _water_,Erwinia amylovora,552
16,0,Soil & _water_,Xanthomonas sp.,29446
17,0,Soil & _water_,Burkholderia contaminans,488447
18,0,Soil & _water_,Pseudomonas aeruginosa,287
19,0,Soil & _water_,Stenotrophomonas maltophilia,40324
20,0,Soil & _water_,Shigella flexneri,623
21,0,Soil & _water_,Bacillus cereus,1396
22,0,Soil & _water_,Salmonella enterica,28901
23,0,Soil & _water_,Paeniglutamicibacter sulfureus,43666
24,0,Soil & _water_,Escherichia coli,562
25,0,Soil & _water_,Pectobacterium atrosepticum,29471
26,1,Soil & Seawater,Pseudomonas aeruginosa,287
27,1,Soil & Seawater,Vibrio sp.,678
28,1,Soil & Seawater,Klebsiella pneumoniae,573
29,1,Soil & Seawater,Salmonella enterica,28901
30,1,Soil & Seawater,Pseudomonas sp.,306
31,2,Soil & Sewage,Vibrio sp.,678
32,2,Soil & Sewage,Pseudomonas syringae,317
33,2,Soil & Sewage,Pseudomonas fluorescens,294
34,2,Soil & Sewage,Bacillus subtilis,1423
35,2,Soil & Sewage,Gordonia rubripertincta,36822
36,2,Soil & Sewage,Pseudomonas sp.,306
37,2,Soil & Sewage,Pseudomonas syringae group genomosp. 3,251701
38,2,Soil & Sewage,Pectobacterium carotovorum,554
39,2,Soil & Sewage,Xanthomonas translucens,343
40,2,Soil & Sewage,Pseudomonas putida,303
41,2,Soil & Sewage,Parabacteroides merdae,46503
42,2,Soil & Sewage,Burkholderia gladioli,28095
43,2,Soil & Sewage,Clostridioides difficile,1496
44,2,Soil & Sewage,Staphylococcus aureus,1280
45,2,Soil & Sewage,Parabacteroides distasonis,823
46,2,Soil & Sewage,Mycolicibacterium smegmatis,1772
47,2,Soil & Sewage,Klebsiella pneumoniae,573
48,2,Soil & Sewage,Staphylococcus sp.,29387
49,2,Soil & Sewage,Bacillus anthracis,1392
50,2,Soil & Sewage,Bacillus sp. (in: firmicutes),1409
51,2,Soil & Sewage,Prescottella equi,43767
52,2,Soil & Sewage,Pseudomonas aeruginosa,287
53,2,Soil & Sewage,Stenotrophomonas maltophilia,40324
54,2,Soil & Sewage,Shigella flexneri,623
55,2,Soil & Sewage,Shigella dysenteriae,622
56,2,Soil & Sewage,Bacillus cereus,1396
57,2,Soil & Sewage,Bacillus thuringiensis,1428
58,2,Soil & Sewage,Salmonella enterica,28901
59,2,Soil & Sewage,Escherichia coli,562
60,2,Soil & Sewage,Pectobacterium atrosepticum,29471
61,2,Soil & Sewage,Xanthomonas sp.,29446
62,3,Soil & Miscellaneous,Vibrio sp.,678
63,3,Soil & Miscellaneous,Xanthomonas oryzae,347
64,3,Soil & Miscellaneous,Pseudomonas syringae,317
65,3,Soil & Miscellaneous,Pseudomonas fluorescens,294
66,3,Soil & Miscellaneous,Bacillus subtilis,1423
67,3,Soil & Miscellaneous,Microbacterium foliorum,104336
68,3,Soil & Miscellaneous,Ralstonia pseudosolanacearum,1310165
69,3,Soil & Miscellaneous,Gordonia rubripertincta,36822
70,3,Soil & Miscellaneous,Myxococcus xanthus,34
71,3,Soil & Miscellaneous,Paenibacillus larvae,1464
72,3,Soil & Miscellaneous,Gordonia terrae,2055
73,3,Soil & Miscellaneous,Pseudomonas sp.,306
74,3,Soil & Miscellaneous,Pseudomonas syringae group genomosp. 3,251701
75,3,Soil & Miscellaneous,Pectobacterium carotovorum,554
76,3,Soil & Miscellaneous,Bacillus amyloliquefaciens,1390
77,3,Soil & Miscellaneous,Arthrobacter globiformis,1665
78,3,Soil & Miscellaneous,Pseudomonas putida,303
79,3,Soil & Miscellaneous,Burkholderia pseudomallei,28450
80,3,Soil & Miscellaneous,Parabacteroides merdae,46503
81,3,Soil & Miscellaneous,Xanthomonas campestris,339
82,3,Soil & Miscellaneous,Clostridioides difficile,1496
83,3,Soil & Miscellaneous,Staphylococcus aureus,1280
84,3,Soil & Miscellaneous,Parabacteroides distasonis,823
85,3,Soil & Miscellaneous,Ralstonia solanacearum,305
86,3,Soil & Miscellaneous,Mycolicibacterium smegmatis,1772
87,3,Soil & Miscellaneous,Klebsiella pneumoniae,573
88,3,Soil & Miscellaneous,Bacillus pumilus,1408
89,3,Soil & Miscellaneous,Erwinia pyrifoliae,79967
90,3,Soil & Miscellaneous,Erwinia amylovora,552
91,3,Soil & Miscellaneous,Staphylococcus sp.,29387
92,3,Soil & Miscellaneous,Bacillus anthracis,1392
93,3,Soil & Miscellaneous,Brevibacillus laterosporus,1465
94,3,Soil & Miscellaneous,Parageobacillus thermoglucosidasius,1426
95,3,Soil & Miscellaneous,Bacillus sp. (in: firmicutes),1409
96,3,Soil & Miscellaneous,Pseudomonas aeruginosa,287
97,3,Soil & Miscellaneous,Stenotrophomonas maltophilia,40324
98,3,Soil & Miscellaneous,Shigella flexneri,623
99,3,Soil & Miscellaneous,Bacillus cereus,1396
100,3,Soil & Miscellaneous,Mycobacterium tuberculosis,1773
101,3,Soil & Miscellaneous,Bacillus thuringiensis,1428
102,3,Soil & Miscellaneous,Salmonella enterica,28901
103,3,Soil & Miscellaneous,Pantoea agglomerans,549
104,3,Soil & Miscellaneous,Escherichia coli,562
105,3,Soil & Miscellaneous,Pectobacterium atrosepticum,29471
106,3,Soil & Miscellaneous,Xanthomonas euvesicatoria,456327
107,3,Soil & Miscellaneous,Xanthomonas sp.,29446
108,4,Soil & Patient + some strain,Pseudomonas aeruginosa,287
109,4,Soil & Patient + some strain,Mycolicibacterium smegmatis,1772
110,4,Soil & Patient + some strain,Escherichia coli,562
111,4,Soil & Patient + some strain,Mycobacterium tuberculosis,1773
112,5,_water_ & Seawater,Parasynechococcus marenigrum,2881428
113,5,_water_ & Seawater,Prochlorococcus marinus,1219
114,5,_water_ & Seawater,Erythrobacter litoralis,39960
115,5,_water_ & Seawater,Aeromonas salmonicida,645
116,5,_water_ & Seawater,Pseudomonas sp.,306
117,5,_water_ & Seawater,Vibrio alginolyticus,663
118,5,_water_ & Seawater,Paracoccus sp. (in: a-proteobacteria),267
119,5,_water_ & Seawater,Achromobacter xylosoxidans,85698
120,5,_water_ & Seawater,Vibrio natriegens,691
121,5,_water_ & Seawater,Synechococcus sp. WH 8109,166314
122,5,_water_ & Seawater,Pseudoalteromonas sp.,53249
123,5,_water_ & Seawater,Klebsiella pneumoniae,573
124,5,_water_ & Seawater,Vibrio coralliilyticus,190893
125,5,_water_ & Seawater,Synechococcus sp.,1131
126,5,_water_ & Seawater,Vibrio parahaemolyticus,670
127,5,_water_ & Seawater,Roseobacter denitrificans,2434
128,5,_water_ & Seawater,Pseudomonas aeruginosa,287
129,5,_water_ & Seawater,Synechococcus sp. CC9605,110662
130,5,_water_ & Seawater,Synechococcus sp. WH 7803,32051
131,5,_water_ & Seawater,Salmonella enterica,28901
132,5,_water_ & Seawater,Enterococcus faecalis,1351
133,5,_water_ & Seawater,Pseudoalteromonas marina,267375
134,6,_water_ & Sewage,Aeromonas veronii,654
135,6,_water_ & Sewage,Pseudomonas syringae,317
136,6,_water_ & Sewage,Pseudomonas fluorescens,294
137,6,_water_ & Sewage,Aeromonas salmonicida,645
138,6,_water_ & Sewage,Bacillus subtilis,1423
139,6,_water_ & Sewage,Serratia marcescens,615
140,6,_water_ & Sewage,Gordonia rubripertincta,36822
141,6,_water_ & Sewage,Staphylococcus capitis,29388
142,6,_water_ & Sewage,Pectobacterium brasiliense,180957
143,6,_water_ & Sewage,Pseudomonas sp.,306
144,6,_water_ & Sewage,Salmonella sp.,599
145,6,_water_ & Sewage,Vibrio alginolyticus,663
146,6,_water_ & Sewage,Pseudomonas syringae group genomosp. 3,251701
147,6,_water_ & Sewage,Pectobacterium carotovorum,554
148,6,_water_ & Sewage,Achromobacter xylosoxidans,85698
149,6,_water_ & Sewage,Vibrio harveyi,669
150,6,_water_ & Sewage,Vibrio cholerae,666
151,6,_water_ & Sewage,Pectobacterium polaris,2042057
152,6,_water_ & Sewage,Pseudomonas putida,303
153,6,_water_ & Sewage,Dickeya dianthicola,204039
154,6,_water_ & Sewage,Pantoea dispersa,59814
155,6,_water_ & Sewage,Yersinia enterocolitica,630
156,6,_water_ & Sewage,Gordonia malaquae,410332
157,6,_water_ & Sewage,Cronobacter dublinensis,413497
158,6,_water_ & Sewage,Klebsiella michiganensis,1134687
159,6,_water_ & Sewage,Pantoea deleyi,470932
160,6,_water_ & Sewage,Escherichia sp.,1884818
161,6,_water_ & Sewage,Staphylococcus aureus,1280
162,6,_water_ & Sewage,Mycolicibacterium smegmatis,1772
163,6,_water_ & Sewage,Klebsiella pneumoniae,573
164,6,_water_ & Sewage,Vibrio parahaemolyticus,670
165,6,_water_ & Sewage,Klebsiella variicola,244366
166,6,_water_ & Sewage,Acinetobacter baumannii,470
167,6,_water_ & Sewage,Shigella sonnei,624
168,6,_water_ & Sewage,Dickeya solani,1089444
169,6,_water_ & Sewage,Enterobacter cloacae,550
170,6,_water_ & Sewage,Cronobacter sakazakii,28141
171,6,_water_ & Sewage,Pseudomonas aeruginosa,287
172,6,_water_ & Sewage,Stenotrophomonas maltophilia,40324
173,6,_water_ & Sewage,Sphaerotilus natans,34103
174,6,_water_ & Sewage,Shigella flexneri,623
175,6,_water_ & Sewage,Clostridium perfringens,1502
176,6,_water_ & Sewage,Bacillus cereus,1396
177,6,_water_ & Sewage,Salmonella enterica,28901
178,6,_water_ & Sewage,Enterococcus faecalis,1351
179,6,_water_ & Sewage,Escherichia coli,562
180,6,_water_ & Sewage,Aeromonas hydrophila,644
181,6,_water_ & Sewage,Enterococcus sp.,35783
182,6,_water_ & Sewage,Pectobacterium atrosepticum,29471
183,6,_water_ & Sewage,Rhodobacter capsulatus,1061
184,6,_water_ & Sewage,Xanthomonas sp.,29446
185,6,_water_ & Sewage,Enterobacter hormaechei,158836
186,7,_water_ & Miscellaneous,Xanthomonas oryzae,347
187,7,_water_ & Miscellaneous,Pseudanabaena sp.,1153
188,7,_water_ & Miscellaneous,Pseudomonas syringae,317
189,7,_water_ & Miscellaneous,Parasynechococcus marenigrum,2881428
190,7,_water_ & Miscellaneous,Prochlorococcus marinus,1219
191,7,_water_ & Miscellaneous,Pseudomonas fluorescens,294
192,7,_water_ & Miscellaneous,Aeromonas salmonicida,645
193,7,_water_ & Miscellaneous,Bacillus subtilis,1423
194,7,_water_ & Miscellaneous,Gordonia rubripertincta,36822
195,7,_water_ & Miscellaneous,Pectobacterium brasiliense,180957
196,7,_water_ & Miscellaneous,Pseudomonas sp.,306
