,superkingdom,phylum,class,order,family,genus,species
562,2.0,1224.0,1236.0,91347.0,543.0,561.0,562.0
666,2.0,1224.0,1236.0,135623.0,641.0,662.0,666.0
54571,2.0,201174.0,1760.0,85011.0,2062.0,1883.0,54571.0
1423,2.0,1239.0,91061.0,1385.0,186817.0,1386.0,1423.0
1409,2.0,1239.0,91061.0,1385.0,186817.0,1386.0,1409.0
1888,2.0,201174.0,1760.0,85011.0,2062.0,1883.0,1888.0
1902,2.0,201174.0,1760.0,85011.0,2062.0,1883.0,1902.0
1313,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,1313.0
287,2.0,1224.0,1236.0,72274.0,135621.0,286.0,287.0
28901,2.0,1224.0,1236.0,91347.0,543.0,590.0,28901.0
1491,2.0,1239.0,186801.0,186802.0,31979.0,1485.0,1491.0
1584,2.0,1239.0,91061.0,186826.0,33958.0,1578.0,1584.0
1359,2.0,1239.0,91061.0,186826.0,1300.0,1357.0,1359.0
1596,2.0,1239.0,91061.0,186826.0,33958.0,1578.0,1596.0
92706,2.0,201174.0,1760.0,85007.0,1653.0,1716.0,92706.0
1772,2.0,201174.0,1760.0,85007.0,1762.0,1866885.0,1772.0
1773,2.0,201174.0,1760.0,85007.0,1762.0,1763.0,1773.0
64713,2157.0,28890.0,183963.0,1644055.0,1963271.0,56688.0,64713.0
2248,2157.0,28890.0,183963.0,1644055.0,1963271.0,56688.0,2248.0
1314,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,1314.0
1597,2.0,1239.0,91061.0,186826.0,33958.0,2759736.0,1597.0
1582,2.0,1239.0,91061.0,186826.0,33958.0,2759736.0,1582.0
1639,2.0,1239.0,91061.0,1385.0,186820.0,1637.0,1639.0
1358,2.0,1239.0,91061.0,186826.0,1300.0,1357.0,1358.0
2108,2.0,544448.0,31969.0,2085.0,2092.0,2093.0,2108.0
2148,2.0,544448.0,31969.0,186329.0,2146.0,2147.0,2148.0
34,2.0,2818505.0,32015.0,29.0,31.0,32.0,34.0
1396,2.0,1239.0,91061.0,1385.0,186817.0,1386.0,1396.0
1280,2.0,1239.0,91061.0,1385.0,90964.0,1279.0,1280.0
1308,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,1308.0
2111,2.0,544448.0,,2790996.0,2895623.0,2895509.0,2111.0
145263,2157.0,28890.0,183925.0,2158.0,2159.0,145260.0,145263.0
145262,2157.0,28890.0,183925.0,2158.0,2159.0,145260.0,145262.0
817,2.0,976.0,200643.0,171549.0,815.0,816.0,817.0
384,2.0,1224.0,28211.0,356.0,82115.0,379.0,384.0
630,2.0,1224.0,1236.0,91347.0,1903411.0,629.0,630.0
13769,2157.0,28890.0,183963.0,1644060.0,1644061.0,63742.0,13769.0
691,2.0,1224.0,1236.0,135623.0,641.0,662.0,691.0
339,2.0,1224.0,1236.0,135614.0,32033.0,338.0,339.0
670,2.0,1224.0,1236.0,135623.0,641.0,662.0,670.0
33959,2.0,1239.0,91061.0,186826.0,33958.0,1578.0,33959.0
674,2.0,1224.0,1236.0,135623.0,641.0,662.0,674.0
959,2.0,3018035.0,3031418.0,213481.0,213483.0,958.0,959.0
47715,2.0,1239.0,91061.0,186826.0,33958.0,2759736.0,47715.0
43080,2157.0,28889.0,183924.0,2281.0,118883.0,2284.0,43080.0
28037,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,28037.0
2242,2157.0,28890.0,183963.0,2235.0,2236.0,2239.0,2242.0
382,2.0,1224.0,28211.0,356.0,82115.0,28105.0,382.0
1247,2.0,1239.0,91061.0,186826.0,33958.0,46254.0,1247.0
33913,2.0,201174.0,1760.0,85010.0,2070.0,1851.0,33913.0
2133,2.0,544448.0,31969.0,186328.0,2131.0,2132.0,2133.0
2134,2.0,544448.0,31969.0,186328.0,2131.0,2132.0,2134.0
669,2.0,1224.0,1236.0,135623.0,641.0,662.0,669.0
1502,2.0,1239.0,186801.0,186802.0,31979.0,1485.0,1502.0
564,2.0,1224.0,1236.0,91347.0,543.0,561.0,564.0
303,2.0,1224.0,1236.0,72274.0,135621.0,286.0,303.0
599,2.0,1224.0,1236.0,91347.0,543.0,590.0,599.0
1785,2.0,201174.0,1760.0,85007.0,1762.0,1763.0,1785.0
1810,2.0,201174.0,1760.0,85007.0,1762.0,1866885.0,1810.0
47853,2.0,201174.0,1760.0,85008.0,28056.0,1873.0,47853.0
219305,2.0,201174.0,1760.0,85008.0,28056.0,1873.0,219305.0
85991,2.0,204428.0,204429.0,51291.0,809.0,810.0,85991.0
83554,2.0,204428.0,204429.0,51291.0,809.0,810.0,83554.0
83555,2.0,204428.0,204429.0,51291.0,809.0,810.0,83555.0
83556,2.0,204428.0,204429.0,51291.0,809.0,810.0,83556.0
83557,2.0,204428.0,204429.0,51291.0,809.0,810.0,83557.0
60550,2.0,1224.0,28216.0,80840.0,119060.0,32008.0,60550.0
714,2.0,1224.0,1236.0,135625.0,712.0,416916.0,714.0
563177,2157.0,28889.0,183924.0,2281.0,118883.0,12914.0,563177.0
12915,2157.0,28889.0,183924.0,2281.0,118883.0,12914.0,12915.0
1131,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,1131.0
32051,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,32051.0
329,2.0,1224.0,28216.0,80840.0,119060.0,48736.0,329.0
2288,2157.0,28889.0,183924.0,2281.0,118883.0,2284.0,2288.0
1220,2.0,1117.0,3028117.0,1890424.0,2881426.0,1218.0,1220.0
1219,2.0,1117.0,3028117.0,1890424.0,2881426.0,1218.0,1219.0
