waterrelated,,plantandvegetables,,humanrelated,,animal,,insect,,landsoil,,searelated,,others,,wastewater,,food,
1157339,yamagawa hot spring,2099652,amelanchier spicata,1500386,anterior nares,2806549,a sample of chicken feces from a poultry farm,1589750,afb diseased bee hive,2509576,agricultural lands,2592222,aquaculture facility,2036055,abnormal fermented milk in thailand,1873954,activated sludge,2777332,cheddar cheese
2730617,acidic hot spring,2508071,amelanchier spicata,2576484,blood,2798692,acropora cervicornis colony,1589751,afb diseased bee hive,2509586,agricultural lands,2592221,aquaculture facility,1527525,affiliated zhongshan hospital of dalian university,1885242,activated sludge,2777330,cheddar cheese
2730618,acidic hot spring,2588094,amelanchier spicata,2576500,blood,2798701,acropora cervicornis colony,1589752,afb diseased bee hive,2509728,agricultural lands,187944,aquaculture pond of black tiger shrimp,2798606,agaricia fragilis tissue,1970374,activated sludge,2777331,cheddar cheese
2730619,acidic hot spring,2499074,amelanchier spicata,2576507,blood,2798696,acropora cervicornis colony,1589754,afb diseased bee hive,2509729,agricultural lands,754039,arabian sea,2798716,aplysina fulva tissue,3017283,activated sludge,2777326,cheddar cheese
2968489,acidic hot spring,1883372,apple orchard sample,2576509,blood,2798611,acropora cervicornis colony,1589755,afb diseased bee hive,2509750,agricultural lands,754043,arctic: norwegian sea,2798685,aplysina fulva tissue,1917452,activated sludge,2777322,cheddar cheese
2023155,"acidic hot spring in yellowstone national park, chann041, ph 2.1, 80 celsius",2026080,apple tree,2576486,blood,2798689,acropora cervicornis colony,1718161,afb diseased bee hive,2509764,agricultural lands,754044,arctic: norwegian sea,2798718,aplysina fulva tissue,2909140,activated sludge,2777324,cheddar cheese
1510634,alkaline hypersaline lake,1852643,apple tree sample,2576501,blood,2798699,acropora cervicornis colony,1589753,afb diseased bee hive,2509781,agricultural lands,754045,arctic: norwegian sea,2798715,aplysina fulva tissue,2315465,activated sludge,2777327,cheddar cheese
1510627,alkaline hypersaline lake,2759709,aubergine plant field,2576508,blood,2798690,acropora cervicornis colony,2835989,afb infected honey bee hive frame,2509785,agricultural lands,754046,arctic: norwegian sea,2798719,aplysina fulva tissue,1885245,activated sludge,2777329,cheddar cheese
1510624,alkaline hypersaline lake,2759728,aubergine plant field,2576483,blood,2798695,acropora cervicornis colony,2835987,afb infected honey bee hive frame,2509787,agricultural lands,2557579,baltic sea,2798717,aplysina fulva tissue,2814691,"activated sludge, pinkenba",2777325,cheddar cheese
1510632,alkaline hypersaline lake,2759732,aubergine plant field,2576485,blood,2798691,acropora cervicornis colony,2835991,afb-infected bee hive frame,2836086,agricultural lands,2557582,baltic sea,2798684,aplysina fulva tissue,2814693,"activated sludge, pinkenba",2777328,cheddar cheese
