# Sources of phages that appear in more than 2 isolation sources in the phagesclusteredbysources.csv
698728,{'soil', 'hospital sewage'},,,,,
2492948,{'human fecal matter', 'sewage'},,,,,
689414,{'river water', 'feces from diarrhoeal patient', 'sewage', 'feces from cholera patient'},,,
2491899,{'mutnovsky volcano', 'hot spring sediment', 'nymph lake'},,,,
12022,{'wastewater', 'homo sapiens', 'isolated from a drinking water source', 'bay water', 'human stool'},,
2789016,{'swine lagoon', 'surface water isolate from catawba watershed', 'wastewater isolate from catawba watershed', 'wastewater', 'isolated from a drinking water source', 'wastewater isolate from saluda watershed', 'surface water isolate from saluda watershed'}
141904,{'ganga river water', 'stool sample for cholera outbreak investigation', 'clinical', 'river water', 'human stool'},,
2806022,{'goose cloaca', 'cloaca', 'trachea', 'oesophagus', 'goose phallus lymph'},,
1913667,{'soil', 'sewage water'},,,,,
2576879,{'fermentation culture', 'human gut'},,,,,
2023990,{'chicken feces', 'environmental water'},,,,,
1701806,{'wastewater plant', 'soil and water'},,,,,
39804,{'isolated from raw sewage of a wastewater treatment plant in japan', 'pig'},,,,,
691319,{'wastewater', 'water', 'waste water'},,,,
1163175,{'sprouted seeds', 'human faeces'},,,,,
2785247,{'ganga river water', 'clinical'},,,,,
10665,{'epiphytic bacteria', 'sewage'},,,,,
1708400,{'waste water treatment plant raw effluent', 'hospital isolate'},,,,,
